url,name,sku
https://www.lowes.com//pd/Frigidaire-Gallery-26-8-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1000289717,Frigidaire Gallery 26.8-cu ft French Door Refrigerator with Dual Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,1000289717
https://www.lowes.com//pd/LG-Smart-Wi-Fi-Enabled-26-2-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000571911,LG Smart Wi-Fi Enabled 26.2-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1000571911
https://www.lowes.com//pd/Samsung-Family-Hub-26-7-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002238386,Samsung Family Hub 26.7-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1002238386
https://www.lowes.com//pd/Samsung-Family-Hub-Family-Hub-26-5-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002692794,Samsung Family Hub Family Hub 26.5-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1002692794
https://www.lowes.com//pd/Bosch-800-21-cu-ft-4-Door-Counter-depth-French-Door-Refr/1001330226,Bosch 800 21-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1001330226
https://www.lowes.com//pd/Samsung-Family-Hub-Family-Hub-24-2-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1002692824,Samsung Family Hub Family Hub 25.1-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,1002692824
https://www.lowes.com//pd/Samsung-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000863994,Samsung 28-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1000863994
https://www.lowes.com//pd/Samsung-22-6-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000854674,Samsung 22.6-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1000854674
https://www.lowes.com//pd/LG-Craft-IceSmart-Wi-Fi-Enabled-29-7-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1001123430,LG Craft IceSmart Wi-Fi Enabled 29.7-cu ft French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1001123430
https://www.lowes.com//pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-17-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-with-and-Door-within-Door-Printproof-Stainless-Steel-ENERGY-STAR/1002951124,LG Craft Ice Smart Wi-Fi Enabled 29.5-cu ft 4-Door French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1002951124
https://www.lowes.com//pd/LG-InstaView-Smart-Wi-Fi-Enabled-26-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000853132,LG InstaView Smart Wi-Fi Enabled 26-cu ft French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1000853132
https://www.lowes.com//pd/Samsung-Food-Showcase-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000854710,Samsung Food Showcase 28-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1000854710
https://www.lowes.com//collections/Samsung-French-Door-Refrigerator-Electric-Air-Fry-Range-Suite-in-Fingerprint-Resistant-Black-Stainless-Steel/GR_313,Samsung French Door Refrigerator & Electric Air Fry Range Suite in Fingerprint-Resistant Black Stainless Steel,GR_313
https://www.lowes.com//pd/Samsung-Food-Showcase-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000854746,Samsung Food Showcase 28-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1000854746
https://www.lowes.com//pd/LG-SIGNATURE-InstaView-14-2-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-with-and-Door-within-Door-Textured-Steel-ENERGY-STAR/1002860756,LG SIGNATURE InstaView 22.8-cu ft 4-Door Counter-Depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Textured Steel) ENERGY STAR,1002860756
https://www.lowes.com//pd/LG-InstaView-26-8-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Platinum-Silver/1002543654,LG InstaView 26.8-cu ft Side-by-Side Refrigerator with Ice Maker (Platinum Silver),1002543654
